frequency2,S11_C,S21_C
22.5675,-11.2523416,-0.530637423
22.57,-10.92514825,-0.560361519
22.5725,-10.60593292,-0.591744451
22.575,-10.29447015,-0.624838872
22.5775,-9.990552927,-0.65969659
22.58,-9.693990665,-0.696368375
22.5825,-9.404607461,-0.734903744
22.585,-9.122240481,-0.77535076
22.5875,-8.846738501,-0.81775582
22.59,-8.577960586,-0.862163445
22.5925,-8.315774884,-0.90861607
22.595,-8.060057521,-0.957153844
22.5975,-7.810691593,-1.007814427
22.6,-7.567566246,-1.060632799
22.6025,-7.330575828,-1.115641075
22.605,-7.099619119,-1.172868334
22.6075,-6.874598626,-1.232340455
22.61,-6.655419943,-1.294079975
22.6125,-6.441991167,-1.358105953
22.615,-6.234222373,-1.424433861
22.6175,-6.032025141,-1.493075483
22.62,-5.835312135,-1.56403884
22.6225,-5.643996727,-1.637328137
22.625,-5.457992677,-1.71294372
22.6275,-5.277213841,-1.790882071
22.63,-5.101573943,-1.871135805
22.6325,-4.930986365,-1.953693705
22.635,-4.765363991,-2.038540769
22.6375,-4.604619081,-2.125658279
22.64,-4.448663182,-2.21502389
22.6425,-4.297407063,-2.306611739
22.645,-4.150760692,-2.400392568
22.6475,-4.008633228,-2.496333868
22.65,-3.870933044,-2.594400032
22.6525,-3.737567772,-2.694552527
22.655,-3.608444364,-2.79675007
22.6575,-3.483469174,-2.900948819
22.66,-3.362548053,-3.007102573
22.6625,-3.24558646,-3.115162967
22.665,-3.132489572,-3.22507969
22.6675,-3.023162419,-3.336800684
22.67,-2.917510008,-3.450272358
22.6725,-2.815437465,-3.565439798
22.675,-2.716850166,-3.682246971
22.6775,-2.621653879,-3.800636928
22.68,-2.5297549,-3.920552
22.6825,-2.441060184,-4.041933994
22.685,-2.355477478,-4.164724368
22.6875,-2.272915443,-4.288864417
22.69,-2.193283776,-4.414295432
22.6925,-2.116493321,-4.54095886
22.695,-2.042456172,-4.668796456
22.6975,-1.971085772,-4.797750413
22.7,-1.902297007,-4.927763498
22.7025,-1.836006278,-5.058779164
22.705,-1.77213158,-5.190741659
22.7075,-1.710592567,-5.323596122
22.71,-1.651310603,-5.457288673
22.7125,-1.594208816,-5.591766484
22.715,-1.539212132,-5.726977855
22.7175,-1.486247313,-5.862872264
22.72,-1.435242975,-5.999400425
22.7225,-1.386129615,-6.136514324
22.725,-1.338839614,-6.274167258
22.7275,-1.293307248,-6.412313855
22.73,-1.249468682,-6.550910103
22.7325,-1.20726197,-6.689913356
22.735,-1.16662704,-6.829282345
22.7375,-1.12750568,-6.968977182
22.74,-1.089841518,-7.108959355
22.7425,-1.053579999,-7.24919172
22.745,-1.01866836,-7.389638497
22.7475,-0.985055598,-7.530265246
22.75,-0.952692441,-7.671038857
22.7525,-0.921531312,-7.811927526
22.755,-0.891526294,-7.952900734
22.7575,-0.862633091,-8.093929219
22.76,-0.834808993,-8.234984953
22.7625,-0.808012831,-8.37604111
22.765,-0.782204941,-8.517072039
22.7675,-0.75734712,-8.658053234
22.77,-0.733402586,-8.798961299
22.7725,-0.710335937,-8.93977392
22.775,-0.688113105,-9.080469828
22.7775,-0.666701321,-9.221028773
22.78,-0.646069068,-9.361431484
22.7825,-0.626186045,-9.501659642
22.785,-0.60702312,-9.641695846
22.7875,-0.588552298,-9.781523578
22.79,-0.570746678,-9.921127174
22.7925,-0.553580412,-10.06049179
22.795,-0.537028671,-10.19960338
22.7975,-0.521067611,-10.33844866
22.8,-0.505674327,-10.47701506
22.8025,-0.49082683,-10.61529073
22.805,-0.476504003,-10.75326449
22.8075,-0.462685576,-10.8909258
22.81,-0.449352088,-11.02826476
22.8125,-0.436484856,-11.16527203
22.815,-0.42406595,-11.30193886
22.8175,-0.412078158,-11.43825706
22.82,-0.40050496,-11.57421893
22.8225,-0.389330502,-11.70981728
22.825,-0.378539565,-11.8450454
22.8275,-0.368117545,-11.97989703
22.83,-0.358050426,-12.11436634
22.8325,-0.348324754,-12.24844793
22.835,-0.33892762,-12.38213679
22.8375,-0.329846629,-12.51542827
22.84,-0.321069889,-12.64831809
22.8425,-0.312585983,-12.78080233
22.845,-0.304383953,-12.91287736
22.8475,-0.296453281,-13.0445399
22.85,-0.288783869,-13.17578693
22.8525,-0.281366022,-13.30661575
22.855,-0.274190436,-13.43702389
22.8575,-0.267248174,-13.56700916
