frequency1,S1 1,S21
21.375,-3.670399367,-2.437458597
21.3775,-3.848605292,-2.30796282
21.38,-4.03397032,-2.182521732
21.3825,-4.226631949,-2.061190833
21.385,-4.426720294,-1.944014632
21.3875,-4.634357948,-1.831026281
21.39,-4.849659959,-1.722247313
21.3925,-5.072733941,-1.617687487
21.395,-5.303680318,-1.517344751
21.3975,-5.542592706,-1.421205312
21.4,-5.789558431,-1.329243823
21.4025,-6.044659185,-1.241423672
21.405,-6.307971826,-1.15769738
21.4075,-6.579569293,-1.078007089
21.41,-6.859521659,-1.002285138
21.4125,-7.147897306,-0.930454711
21.415,-7.444764199,-0.862430551
21.4175,-7.750191285,-0.798119721
21.42,-8.064249984,-0.737422407
21.4225,-8.387015776,-0.680232746
21.425,-8.71856989,-0.62643966
21.4275,-9.059001079,-0.575927704
21.43,-9.408407492,-0.52857789
21.4325,-9.766898646,-0.484268503
21.435,-10.13459751,-0.442875885
21.4375,-10.51164268,-0.404275176
21.44,-10.89819074,-0.368341027
21.4425,-11.29441874,-0.334948255
21.445,-11.70052689,-0.30397245
21.4475,-12.11674142,-0.275290532
21.45,-12.54331777,-0.248781248
21.4525,-12.98054411,-0.224325623
21.455,-13.42874516,-0.201807345
21.4575,-13.88828654,-0.181113108
21.46,-14.35957971,-0.162132897
21.4625,-14.84308752,-0.144760227
21.465,-15.33933068,-0.128892332
21.4675,-15.84889517,-0.11443032
21.47,-16.37244095,-0.101279279
21.4725,-16.91071224,-0.08934835
21.475,-17.46454959,-0.078550769
21.4775,-18.03490442,-0.068803879
21.48,-18.6228565,-0.060029112
21.4825,-19.22963517,-0.052151952
21.485,-19.8566453,-0.045101878
21.4875,-20.50549945,-0.038812287
21.49,-21.17805797,-0.033220404
21.4925,-21.87647957,-0.02826718
21.495,-22.6032859,-0.02389718
21.4975,-23.36144499,-0.020058464
21.5,-24.15448061,-0.016702457
21.5025,-24.98661796,-0.013783824
21.505,-25.86298092,-0.011260332
21.5075,-26.78986495,-0.009092717
21.51,-27.77512275,-0.007244547
21.5125,-28.8287243,-0.005682088
21.515,-29.96359493,-0.00437417
21.5175,-31.19691585,-0.00329205
21.52,-32.55223166,-0.002409288
21.5225,-34.06305221,-0.001701618
21.525,-35.77943381,-0.001146822
21.5275,-37.78109491,-0.000724613
21.53,-40.20682913,-0.000416518
21.5325,-43.33283158,-0.000205765
21.535,-47.84896406,-7.72E-05
21.5375,-56.64052166,-1.71E-05
21.54,-60.62474686,-1.31E-05
21.5425,-50.01075307,-5.44E-05
21.545,-45.64756857,-0.000131032
21.5475,-42.95235074,-0.000234386
21.55,-41.05092522,-0.000356817
21.5525,-39.61728997,-0.000491645
21.555,-38.49379488,-0.000633076
21.5575,-37.59218072,-0.000776133
21.56,-36.85810798,-0.000916584
21.5625,-36.25581339,-0.001050884
21.565,-35.76057681,-0.001176115
21.5675,-35.35466715,-0.001289927
21.57,-35.02500255,-0.001390489
21.5725,-34.7617241,-0.001476439
21.575,-34.55728755,-0.001546835
21.5775,-34.40586434,-0.001601114
21.58,-34.30293549,-0.00163905
21.5825,-34.24501071,-0.001660717
21.585,-34.22943157,-0.00166645
21.5875,-34.25423345,-0.001656816
21.59,-34.31804986,-0.001632581
21.5925,-34.42004922,-0.001594681
21.595,-34.55989752,-0.001544195
21.5975,-34.73774337,-0.001482321
21.6,-34.95422413,-0.001410354
21.6025,-35.21049353,-0.001329663
21.605,-35.50827363,-0.001241672
21.6075,-35.84993585,-0.001147842
21.61,-36.23861989,-0.001049658
21.6125,-36.67840357,-0.000948608
21.615,-37.17454484,-0.000846177
21.6175,-37.73382938,-0.000743827
21.62,-38.36507863,-0.000642992
21.6225,-39.07991061,-0.000545067
21.625,-39.89391625,-0.000451396
21.6275,-40.82855197,-0.000363269
21.63,-41.91433977,-0.000281913
21.6325,-43.19662928,-0.000208485
21.635,-44.74685308,-0.000144069
21.6375,-46.68706401,-8.97E-05
21.64,-49.25253,-4.62E-05
21.6425,-52.9965076,-1.46E-05
21.645,-59.8796635,4.57E-06
21.6475,-71.80613955,1.05E-05
21.65,-56.45759793,2.60E-06
21.6525,-51.12205098,-1.96E-05
21.655,-47.81354809,-5.64E-05
21.6575,-45.4068965,-0.000108289
21.66,-43.51392407,-0.0001754
21.6625,-41.95394691,-0.0002579
21.665,-40.62801565,-0.000355854
21.6675,-39.47600078,-0.000469246
21.67,-38.45860168,-0.000597982
21.6725,-37.54870467,-0.000741893
21.675,-36.72680547,-0.000900735
21.6775,-35.97839823,-0.001074197
21.68,-35.29239698,-0.001261901
21.6825,-34.66013534,-0.001463406
21.685,-34.07470748,-0.001678212
21.6875,-33.53051949,-0.001905762
21.69,-33.02297537,-0.00214545
21.6925,-32.54825189,-0.002396621
21.695,-32.10313369,-0.002658573
21.6975,-31.68489028,-0.002930569
21.7,-31.29118278,-0.003211832
21.7025,-30.91999214,-0.003501554
21.705,-30.56956318,-0.003798899
21.7075,-30.23836043,-0.004103004
21.71,-29.92503285,-0.004412989
21.7125,-29.62838553,-0.004727954
21.715,-29.34735652,-0.005046987
21.7175,-29.08099799,-0.005369166
21.72,-28.82846055,-0.005693564
21.7225,-28.58898027,-0.006019249
21.725,-28.3618678,-0.006345292
21.7275,-28.14649917,-0.006670767
21.73,-27.94230803,-0.006994755
21.7325,-27.74877905,-0.007316348
21.735,-27.5654422,-0.007634649
21.7375,-27.39186794,-0.007948778
21.74,-27.22766294,-0.008257874
21.7425,-27.0724665,-0.008561095
21.745,-26.92594733,-0.008857624
21.7475,-26.78780078,-0.009146669
21.75,-26.65774641,-0.009427465
21.7525,-26.53552589,-0.009699276
21.755,-26.42090108,-0.009961399
21.7575,-26.31365236,-0.010213161
21.76,-26.21357723,-0.010453926
21.7625,-26.12048893,-0.010683093
21.765,-26.03421532,-0.010900098
21.7675,-25.95459787,-0.011104415
21.77,-25.8814907,-0.011295557
21.7725,-25.81475982,-0.011473077
21.775,-25.75428237,-0.011636568
21.7775,-25.69994598,-0.011785666
21.78,-25.65164823,-0.011920047
21.7825,-25.6092961,-0.012039429
21.785,-25.57280557,-0.012143573
21.7875,-25.54210118,-0.012232282
21.79,-25.51711572,-0.0123054
21.7925,-25.49778994,-0.012362814
21.795,-25.48407224,-0.012404455
21.7975,-25.47591853,-0.01243029
21.8,-25.473292,-0.012440333
21.8025,-25.47616298,-0.012434634
21.805,-25.48450888,-0.012413285
21.8075,-25.49831405,-0.012376416
21.81,-25.5175698,-0.012324196
21.8125,-25.54227435,-0.012256831
21.815,-25.57243289,-0.012174563
21.8175,-25.6080576,-0.01207767
21.82,-25.64916777,-0.011966464
21.8225,-25.69578992,-0.011841289
21.825,-25.74795797,-0.011702522
21.8275,-25.80571341,-0.01155057
21.83,-25.86910559,-0.011385868
21.8325,-25.93819196,-0.011208881
21.835,-26.01303844,-0.011020099
21.8375,-26.09371978,-0.010820035
21.84,-26.18032,-0.010609229
21.8425,-26.27293288,-0.010388239
21.845,-26.37166256,-0.010157645
21.8475,-26.47662414,-0.009918045
21.85,-26.58794441,-0.009670055
21.8525,-26.7057627,-0.009414303
21.855,-26.83023174,-0.009151435
21.8575,-26.96151877,-0.008882105
21.86,-27.09980664,-0.008606979
21.8625,-27.24529518,-0.008326732
21.865,-27.3982027,-0.008042044
21.8675,-27.55876766,-0.007753602
21.87,-27.72725065,-0.007462096
21.8725,-27.90393652,-0.007168217
21.875,-28.08913699,-0.006872657
21.8775,-28.28319343,-0.006576107
21.88,-28.48648024,-0.006279255
21.8825,-28.69940862,-0.005982783
21.885,-28.92243101,-0.005687368
21.8875,-29.15604617,-0.00539368
21.89,-29.40080521,-0.005102379
21.8925,-29.65731858,-0.004814115
21.895,-29.92626429,-0.004529526
21.8975,-30.20839772,-0.004249235
21.9,-30.50456326,-0.003973853
21.9025,-30.81570826,-0.003703974
21.905,-31.14289986,-0.003440174
21.9075,-31.48734548,-0.003183012
21.91,-31.85041788,-0.002933027
21.9125,-32.23368615,-0.002690737
21.915,-32.63895435,-0.002456639
21.9175,-33.06831022,-0.002231207
21.92,-33.52418718,-0.002014892
21.9225,-34.00944443,-0.00180812
21.925,-34.52747164,-0.001611293
21.9275,-35.08232797,-0.001424785
21.93,-35.67893002,-0.001248946
21.9325,-36.32331072,-0.001084097
21.935,-37.02298403,-0.000930531
21.9375,-37.78747199,-0.000788515
21.94,-38.6290893,-0.000658284
21.9425,-39.56415299,-0.000540048
21.945,-40.61492701,-0.000433984
21.9475,-41.81291236,-0.000340241
21.95,-43.2047806,-0.000258939
21.9525,-44.86399047,-0.000190167
21.955,-46.9161821,-0.000133984
21.9575,-49.60412488,-9.04E-05
21.96,-53.50006593,-5.95E-05
21.9625,-60.59981133,-4.11E-05
21.965,-68.16249686,-3.53E-05
21.9675,-56.40040159,-4.19E-05
21.97,-51.39229982,-6.08E-05
21.9725,-48.23386161,-9.20E-05
21.975,-45.92907221,-0.000135089
21.9775,-44.11690222,-0.000190016
21.98,-42.62587665,-0.000256519
21.9825,-41.36107021,-0.000334344
21.985,-40.2644245,-0.000423211
21.9875,-39.29783875,-0.000522816
21.99,-38.43496088,-0.000632829
21.9925,-37.65680703,-0.000752898
21.995,-36.94924906,-0.000882649
21.9975,-36.3014892,-0.001021686
22,-35.70509026,-0.001169592
22.0025,-35.15333495,-0.001325931
22.005,-34.64078891,-0.001490247
22.0075,-34.16299423,-0.00166207
22.01,-33.71624945,-0.001840909
22.0125,-33.29744825,-0.002026262
22.015,-32.90395904,-0.002217609
22.0175,-32.53353354,-0.002414422
22.02,-32.18423642,-0.002616155
22.0225,-31.85439047,-0.002822258
22.025,-31.54253322,-0.003032168
22.0275,-31.24738242,-0.003245314
22.03,-30.96780823,-0.003461121
22.0325,-30.70281053,-0.003679006
22.035,-30.45150046,-0.003898384
22.0375,-30.21308507,-0.004118666
22.04,-29.98685461,-0.004339262
22.0425,-29.77217188,-0.004559582
22.045,-29.5684633,-0.00477904
22.0475,-29.37521129,-0.004997047
22.05,-29.19194784,-0.005213024
22.0525,-29.01824903,-0.005426394
22.055,-28.85373024,-0.005636588
22.0575,-28.69804215,-0.005843044
22.06,-28.55086715,-0.006045209
22.0625,-28.41191634,-0.006242543
22.065,-28.28092685,-0.006434515
22.0675,-28.15765953,-0.006620609
22.07,-28.0418969,-0.006800323
22.0725,-27.93344143,-0.006973169
22.075,-27.83211394,-0.007138678
22.0775,-27.73775227,-0.007296397
22.08,-27.65021005,-0.007445892
22.0825,-27.56935571,-0.007586751
22.085,-27.4950715,-0.00771858
22.0875,-27.42725273,-0.007841009
22.09,-27.36580708,-0.007953691
22.0925,-27.31065395,-0.008056302
22.095,-27.26172402,-0.008148543
22.0975,-27.21895875,-0.00823014
22.1,-27.18231004,-0.008300848
22.1025,-27.15173993,-0.008360446
22.105,-27.12722039,-0.008408742
22.1075,-27.1087331,-0.008445573
22.11,-27.09626938,-0.008470804
22.1125,-27.08983011,-0.00848433
22.115,-27.08942575,-0.008486075
22.1175,-27.09507636,-0.008475996
22.12,-27.10681178,-0.008454078
22.1225,-27.1246717,-0.008420337
22.125,-27.14870601,-0.008374823
22.1275,-27.17897498,-0.008317614
22.13,-27.21554972,-0.008248822
22.1325,-27.25851256,-0.00816859
22.135,-27.30795756,-0.00807709
22.1375,-27.36399115,-0.00797453
22.14,-27.42673278,-0.007861144
22.1425,-27.49631573,-0.007737201
22.145,-27.57288802,-0.007602999
22.1475,-27.65661346,-0.007458866
22.15,-27.74767282,-0.007305159
22.1525,-27.84626517,-0.007142268
22.155,-27.95260947,-0.006970607
22.1575,-28.06694626,-0.006790621
22.16,-28.18953972,-0.006602781
22.1625,-28.32067994,-0.006407584
22.165,-28.46068555,-0.006205555
22.1675,-28.60990677,-0.005997242
22.17,-28.76872882,-0.005783216
22.1725,-28.93757606,-0.005564071
22.175,-29.11691656,-0.005340423
22.1775,-29.30726759,-0.005112908
22.18,-29.50920198,-0.004882181
22.1825,-29.7233556,-0.004648914
22.185,-29.9504362,-0.004413796
22.1875,-30.19123389,-0.004177529
22.19,-30.44663368,-0.00394083
22.1925,-30.71763055,-0.003704427
22.195,-31.00534771,-0.003469056
22.1975,-31.31105879,-0.003235464
22.2,-31.63621524,-0.003004403
22.2025,-31.98248024,-0.002776629
22.205,-32.35177119,-0.002552901
22.2075,-32.7463135,-0.00233398
22.21,-33.16870948,-0.002120624
22.2125,-33.62202773,-0.001913589
22.215,-34.10992081,-0.001713624
22.2175,-34.63678261,-0.001521474
22.22,-35.20796272,-0.001337871
22.2225,-35.83006451,-0.001163538
22.225,-36.51136942,-0.000999182
22.2275,-37.26245774,-0.000845496
22.23,-38.09714603,-0.000703154
22.2325,-39.03395758,-0.00057281
22.235,-40.09853643,-0.000455095
22.2375,-41.32784051,-0.000350616
22.24,-42.77796298,-0.000259953
22.2425,-44.54015429,-0.000183656
22.245,-46.77817191,-0.000122243
22.2475,-49.83386023,-7.62E-05
22.25,-54.64247279,-4.60E-05
22.2525,-66.49548773,-3.20E-05
22.255,-60.72096557,-3.46E-05
22.2575,-52.69352318,-5.42E-05
22.26,-48.57494788,-9.09E-05
22.2625,-45.78096667,-0.00014515
22.265,-43.66270682,-0.000217032
22.2675,-41.95594332,-0.000306708
22.27,-40.52671951,-0.000414271
22.2725,-39.29769086,-0.000539757
22.275,-38.22013443,-0.000683151
22.2775,-37.26136952,-0.000844378
22.28,-36.39841025,-0.001023309
22.2825,-35.614477,-0.001219754
22.285,-34.89694856,-0.001433463
22.2875,-34.23609522,-0.001664124
22.29,-33.62426049,-0.001911365
22.2925,-33.05531353,-0.00217475
22.295,-32.52427141,-0.00245378
22.2975,-32.0270316,-0.002747889
22.3,-31.56017838,-0.003056451
22.3025,-31.12083985,-0.003378772
22.305,-30.70658043,-0.003714095
22.3075,-30.31531893,-0.004061599
22.31,-29.9452651,-0.004420397
22.3125,-29.59486994,-0.00478954
22.315,-29.26278639,-0.005168016
22.3175,-28.94783786,-0.005554752
22.32,-28.64899278,-0.005948615
22.3225,-28.36534399,-0.00634841
22.325,-28.09609179,-0.006752888
22.3275,-27.84052994,-0.007160744
22.33,-27.59803409,-0.00757062
22.3325,-27.36805213,-0.007981106
22.335,-27.15009607,-0.008390748
22.3375,-26.94373531,-0.008798043
22.34,-26.74859086,-0.00920145
22.3425,-26.56433062,-0.009599391
22.345,-26.39066527,-0.009990251
22.3475,-26.22734494,-0.010372389
22.35,-26.07415637,-0.010744139
22.3525,-25.93092059,-0.011103816
22.355,-25.79749101,-0.011449721
22.3575,-25.67375193,-0.011780147
22.36,-25.55961737,-0.012093384
22.3625,-25.45503028,-0.01238773
22.365,-25.35996199,-0.012661491
22.3675,-25.274412,-0.012912996
22.37,-25.19840808,-0.013140599
22.3725,-25.13200661,-0.013342689
22.375,-25.07529327,-0.013517702
